"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\ResoursesSection\ResourcesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 5, 44
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\ResoursesSection\resourcesSectionStyles.module.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\SpecialSection\SpecialSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\CategorySections\SpecialSection\specialSectionStyles.module.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\TownHallModalLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 6, 66
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallModalLayout\townHallModalStyles.module.css", "CSS", 0, 0, 0, 54, 0, 0, 0, 0, 0, 33, 8, 95
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\TownHall\TownHallOnMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 163, 0, 0, 0, 0, 108, 30, 301
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\DefaultBuildings\defaultBuildings.css", "CSS", 0, 0, 0, 76, 0, 0, 0, 0, 0, 23, 14, 113
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\EntityTemplateGroup\EntityTemplateGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 6, 65
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Placeholders\Buildings\B_Padlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Placeholders\Buildings\B_placeholder.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 3, 16, 129
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Placeholders\Buildings\bPlaceholders.module.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 3, 25
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Placeholders\Placeholders.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 3, 7, 98
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\components\OnMapEntities\Placeholders\REGs\R_Padlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
